537, 0.493932, 5.383835, 1, 1.575231, 9.602448
541, 14.263278, 14.720505, 575, 19.116055, 19.082941
542, 32.041073, 30.486206, 203, 38.427677, 31.470758
544, 61.415558, 48.722843, 400, 62.381096, 51.827171
564, 59.381260, 38.599983, 969, 57.353439, 44.387230
575, 19.116055, 19.082941, 900, 21.975540, 20.876982
579, 62.540417, 42.605011, 778, 60.737106, 46.876583
580, 20.667351, 30.021816, 354, 26.699020, 31.233377
587, 65.322075, 48.854050, 381, 64.945290, 55.483906
594, 72.074547, 58.018036, 40, 69.624123, 60.734467
595, 46.385002, 43.539108, 63, 52.458858, 48.192738
597, 0.714197, 5.421301, 1, 1.575231, 9.602448
598, 19.348585, 25.969563, 166, 25.521229, 24.681101
603, 13.728307, 12.921913, 645, 15.519206, 16.406778
620, 76.702179, 60.134640, 40, 69.624123, 60.734467
643, 27.397034, 40.017342, 87, 34.095123, 40.237507
645, 15.519206, 16.406778, 575, 19.116055, 19.082941
649, 42.524651, 37.854694, 667, 45.521004, 41.644981
656, 54.276890, 55.508812, 480, 60.339741, 54.016209
667, 45.521004, 41.644981, 450, 48.132263, 44.109360
671, 13.001752, 20.104534, 902, 19.346842, 21.823227
686, 66.015755, 60.117672, 40, 69.624123, 60.734467
689, 30.958435, 21.925724, 820, 30.102694, 26.397148
694, 55.905960, 41.504246, 969, 57.353439, 44.387230
695, 57.033237, 59.466656, 480, 60.339741, 54.016209
700, 59.535873, 61.384178, 686, 66.015755, 60.117672
714, 14.431119, 21.464096, 902, 19.346842, 21.823227
716, 53.213654, 38.761429, 787, 54.674561, 41.955147
721, 16.285337, 19.240631, 902, 19.346842, 21.823227
737, 47.126434, 40.066071, 450, 48.132263, 44.109360
738, 46.050404, 37.293785, 450, 48.132263, 44.109360
742, 40.154022, 44.028076, 503, 44.016918, 45.933235
744, 37.880608, 30.478416, 203, 38.427677, 31.470758
746, 19.306404, 10.101181, 645, 15.519206, 16.406778
747, 48.998676, 47.688015, 319, 55.729763, 50.537025
755, 65.242691, 50.266235, 188, 67.785301, 56.216511
758, 50.208736, 49.717964, 319, 55.729763, 50.537025
763, 42.699825, 27.367594, 203, 38.427677, 31.470758
765, 51.042637, 34.815189, 787, 54.674561, 41.955147
778, 60.737106, 46.876583, 400, 62.381096, 51.827171
782, 40.811066, 48.864574, 503, 44.016918, 45.933235
784, 42.570965, 53.006611, 758, 50.208736, 49.717964
787, 54.674561, 41.955147, 969, 57.353439, 44.387230
788, 12.709913, 11.079765, 395, 12.558427, 14.353310
790, 28.945717, 24.930458, 219, 34.314606, 28.545605
791, 67.681625, 50.917839, 188, 67.785301, 56.216511
793, 49.921509, 50.983002, 319, 55.729763, 50.537025
800, 64.653099, 46.936398, 400, 62.381096, 51.827171
806, 16.400328, 12.657631, 645, 15.519206, 16.406778
809, 15.760323, 18.638842, 900, 21.975540, 20.876982
810, 27.660578, 32.406101, 865, 30.743481, 35.029552
812, 0.590433, 14.453686, 499, 7.647536, 12.361024
814, 67.011780, 48.227959, 400, 62.381096, 51.827171
816, 25.614878, 23.676704, 820, 30.102694, 26.397148
817, 61.917267, 45.086323, 400, 62.381096, 51.827171
819, 49.217125, 32.425480, 737, 47.126434, 40.066071
820, 30.102694, 26.397148, 219, 34.314606, 28.545605
824, 55.221939, 58.023251, 480, 60.339741, 54.016209
826, 25.854889, 26.397066, 895, 31.418083, 28.918369
829, 71.853424, 51.982655, 181, 69.907005, 58.944084
833, 46.235538, 43.992741, 63, 52.458858, 48.192738
834, 28.759735, 28.428911, 895, 31.418083, 28.918369
841, 57.410301, 58.603115, 480, 60.339741, 54.016209
843, 37.403862, 39.248825, 742, 40.154022, 44.028076
844, 75.461517, 60.529011, 40, 69.624123, 60.734467
